config,representation,change,image,group,class,gt_index,gt_bbox,failure_type,baseline_status,new_status,baseline_best_box,baseline_best_iou,new_best_box,new_best_iou
u3e4_g060,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,6,"400.000,584.000,424.000,658.000",localization_failure,FN,TP,"407.000,586.000,418.000,665.000",0.42741450667381287,"406.000,584.000,424.000,676.000",0.634285032749176
u3e4_g060,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,8,"389.000,1937.000,414.000,1993.000",fusion_oracle_rescuable,FN,TP,"395.000,1935.000,407.000,1990.000",0.44662922620773315,"393.000,1932.000,413.000,1992.000",0.7333333492279053
u3e4_g080,float,rescued,0001417541-Raw02-f_00011.jpg,0001417541,qilie,1,"3700.000,2138.000,3730.000,2401.000",fusion_oracle_rescuable,FN,TP,"3703.000,1905.500,3738.000,2335.000",0.30215582251548767,"3701.500,2116.500,3730.000,2375.000",0.7943900227546692
u3e4_g080,float,rescued,0001441830-Raw02-f_00002.jpg,0001441830,mamianmakeng,24,"2710.000,704.000,2733.000,749.000",localization_failure,FN,TP,"2676.250,706.000,2735.000,752.000",0.35983264446258545,"2714.500,709.500,2736.500,751.500",0.5949521660804749
u3e4_g080,float,rescued,0001472229_Raw13_f_00004.jpg,0001472229,huashang,4,"1548.000,857.000,2731.000,899.000",localization_failure,FN,TP,"1721.750,829.500,2617.000,909.500",0.4491998851299286,"1784.250,846.500,2549.000,900.000",0.5492331981658936
u3e4_g080,float,regressed,C1269807_V02_F00008_c21bf6a0-647a-4180-89ba-bda5e16c9289.jpg,C1269807,zonglie,0,"1899.000,1.000,1978.000,3000.000",,TP,FN,"1924.875,0.000,1972.000,3000.000",0.5964003801345825,"1929.625,0.000,1967.000,3000.000",0.4730266332626343
u3e4_g080,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,2,"403.000,128.000,431.000,202.000",localization_near_miss,FN,TP,"400.500,128.750,420.000,194.000",0.4962809085845947,"409.500,109.750,427.750,199.250",0.5406565070152283
u3e4_g080,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,4,"405.000,386.000,429.000,455.000",localization_failure,FN,TP,"412.000,381.500,423.250,453.000",0.44166117906570435,"405.250,383.000,424.250,450.500",0.7154115438461304
u3e4_g080,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,6,"400.000,584.000,424.000,658.000",localization_failure,FN,TP,"407.750,586.000,418.000,665.000",0.3994041979312897,"406.750,584.000,424.000,676.000",0.6117894053459167
u3e4_g080,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,8,"389.000,1937.000,414.000,1993.000",fusion_oracle_rescuable,FN,TP,"395.750,1935.250,407.000,1990.000",0.4199867844581604,"392.500,1928.000,412.750,1994.000",0.7076442837715149
u3e4_g080,roundtrip,rescued,0001417541-Raw02-f_00011.jpg,0001417541,qilie,1,"3700.000,2138.000,3730.000,2401.000",fusion_oracle_rescuable,FN,TP,"3703.000,1905.000,3738.000,2335.000",0.30185574293136597,"3701.000,2116.000,3730.000,2375.000",0.80593341588974
u3e4_g080,roundtrip,rescued,0001441830-Raw02-f_00002.jpg,0001441830,mamianmakeng,24,"2710.000,704.000,2733.000,749.000",localization_failure,FN,TP,"2676.000,706.000,2735.000,752.000",0.3583333194255829,"2714.000,709.000,2737.000,752.000",0.6012658476829529
u3e4_g080,roundtrip,rescued,0001472229_Raw13_f_00004.jpg,0001472229,huashang,4,"1548.000,857.000,2731.000,899.000",localization_failure,FN,TP,"1721.000,829.000,2617.000,910.000",0.44466501474380493,"1784.000,846.000,2549.000,900.000",0.5458159446716309
u3e4_g080,roundtrip,regressed,C1269807_V02_F00008_c21bf6a0-647a-4180-89ba-bda5e16c9289.jpg,C1269807,zonglie,0,"1899.000,1.000,1978.000,3000.000",,TP,FN,"1924.000,0.000,1972.000,3000.000",0.6074718832969666,"1929.000,0.000,1967.000,3000.000",0.4809355139732361
u3e4_g080,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,2,"403.000,128.000,431.000,202.000",localization_near_miss,FN,TP,"400.000,128.000,420.000,194.000",0.4942730665206909,"409.000,109.000,428.000,200.000",0.562268853187561
u3e4_g080,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,4,"405.000,386.000,429.000,455.000",localization_failure,FN,TP,"412.000,381.000,424.000,453.000",0.46853145956993103,"405.000,383.000,425.000,451.000",0.7575757503509521
u3e4_g080,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,6,"400.000,584.000,424.000,658.000",localization_failure,FN,TP,"407.000,586.000,418.000,665.000",0.42741450667381287,"406.000,584.000,424.000,676.000",0.634285032749176
u3e4_g080,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,8,"389.000,1937.000,414.000,1993.000",fusion_oracle_rescuable,FN,TP,"395.000,1935.000,407.000,1990.000",0.44662922620773315,"393.000,1932.000,413.000,1992.000",0.7333333492279053
u1e3_g060,float,rescued,0001417541-Raw02-f_00011.jpg,0001417541,qilie,1,"3700.000,2138.000,3730.000,2401.000",fusion_oracle_rescuable,FN,TP,"3703.000,1905.500,3738.000,2335.000",0.30215582251548767,"3701.500,2116.500,3730.000,2375.000",0.7943900227546692
u1e3_g060,float,rescued,0001441830-Raw02-f_00002.jpg,0001441830,mamianmakeng,24,"2710.000,704.000,2733.000,749.000",localization_failure,FN,TP,"2676.250,706.000,2735.000,752.000",0.35983264446258545,"2714.500,709.500,2736.500,751.500",0.5949521660804749
u1e3_g060,float,rescued,0001472229_Raw13_f_00004.jpg,0001472229,huashang,4,"1548.000,857.000,2731.000,899.000",localization_failure,FN,TP,"1721.750,829.500,2617.000,909.500",0.4491998851299286,"1795.000,847.125,2523.000,899.750",0.5324881076812744
u1e3_g060,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,2,"403.000,128.000,431.000,202.000",localization_near_miss,FN,TP,"400.500,128.750,420.000,194.000",0.4962809085845947,"409.500,109.750,427.750,199.250",0.5406565070152283
u1e3_g060,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,4,"405.000,386.000,429.000,455.000",localization_failure,FN,TP,"412.000,381.500,423.250,453.000",0.44166117906570435,"405.250,383.000,424.250,450.500",0.7154115438461304
u1e3_g060,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,6,"400.000,584.000,424.000,658.000",localization_failure,FN,TP,"407.750,586.000,418.000,665.000",0.3994041979312897,"406.750,584.000,424.000,676.000",0.6117894053459167
u1e3_g060,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,8,"389.000,1937.000,414.000,1993.000",fusion_oracle_rescuable,FN,TP,"395.750,1935.250,407.000,1990.000",0.4199867844581604,"392.500,1928.000,412.750,1994.000",0.7076442837715149
u1e3_g060,roundtrip,rescued,0001417541-Raw02-f_00011.jpg,0001417541,qilie,1,"3700.000,2138.000,3730.000,2401.000",fusion_oracle_rescuable,FN,TP,"3703.000,1905.000,3738.000,2335.000",0.30185574293136597,"3701.000,2116.000,3730.000,2375.000",0.80593341588974
u1e3_g060,roundtrip,rescued,0001441830-Raw02-f_00002.jpg,0001441830,mamianmakeng,24,"2710.000,704.000,2733.000,749.000",localization_failure,FN,TP,"2676.000,706.000,2735.000,752.000",0.3583333194255829,"2714.000,709.000,2737.000,752.000",0.6012658476829529
u1e3_g060,roundtrip,rescued,0001472229_Raw13_f_00004.jpg,0001472229,huashang,4,"1548.000,857.000,2731.000,899.000",localization_failure,FN,TP,"1721.000,829.000,2617.000,910.000",0.44466501474380493,"1795.000,847.000,2523.000,900.000",0.5299684405326843
u1e3_g060,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,2,"403.000,128.000,431.000,202.000",localization_near_miss,FN,TP,"400.000,128.000,420.000,194.000",0.4942730665206909,"409.000,109.000,428.000,200.000",0.562268853187561
u1e3_g060,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,4,"405.000,386.000,429.000,455.000",localization_failure,FN,TP,"412.000,381.000,424.000,453.000",0.46853145956993103,"405.000,383.000,425.000,451.000",0.7575757503509521
u1e3_g060,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,6,"400.000,584.000,424.000,658.000",localization_failure,FN,TP,"407.000,586.000,418.000,665.000",0.42741450667381287,"406.000,584.000,424.000,676.000",0.634285032749176
u1e3_g060,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,8,"389.000,1937.000,414.000,1993.000",fusion_oracle_rescuable,FN,TP,"395.000,1935.000,407.000,1990.000",0.44662922620773315,"393.000,1932.000,413.000,1992.000",0.7333333492279053
u1e3_g080,float,rescued,0001417541-Raw02-f_00011.jpg,0001417541,qilie,1,"3700.000,2138.000,3730.000,2401.000",fusion_oracle_rescuable,FN,TP,"3703.000,1905.500,3738.000,2335.000",0.30215582251548767,"3701.500,2116.500,3730.000,2375.000",0.7943900227546692
u1e3_g080,float,rescued,0001441830-Raw02-f_00002.jpg,0001441830,mamianmakeng,24,"2710.000,704.000,2733.000,749.000",localization_failure,FN,TP,"2676.250,706.000,2735.000,752.000",0.35983264446258545,"2714.500,709.500,2736.500,751.500",0.5949521660804749
u1e3_g080,float,rescued,0001472229_Raw13_f_00004.jpg,0001472229,huashang,4,"1548.000,857.000,2731.000,899.000",localization_failure,FN,TP,"1721.750,829.500,2617.000,909.500",0.4491998851299286,"1795.000,847.125,2523.000,899.750",0.5324881076812744
u1e3_g080,float,regressed,C1269807_V02_F00008_c21bf6a0-647a-4180-89ba-bda5e16c9289.jpg,C1269807,zonglie,0,"1899.000,1.000,1978.000,3000.000",,TP,FN,"1924.875,0.000,1972.000,3000.000",0.5964003801345825,"1930.000,0.000,1967.000,3000.000",0.4682812988758087
u1e3_g080,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,2,"403.000,128.000,431.000,202.000",localization_near_miss,FN,TP,"400.500,128.750,420.000,194.000",0.4962809085845947,"409.500,109.750,427.750,199.250",0.5406565070152283
u1e3_g080,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,4,"405.000,386.000,429.000,455.000",localization_failure,FN,TP,"412.000,381.500,423.250,453.000",0.44166117906570435,"405.250,383.000,424.250,450.500",0.7154115438461304
u1e3_g080,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,6,"400.000,584.000,424.000,658.000",localization_failure,FN,TP,"407.750,586.000,418.000,665.000",0.3994041979312897,"406.750,584.000,424.000,676.000",0.6117894053459167
u1e3_g080,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,8,"389.000,1937.000,414.000,1993.000",fusion_oracle_rescuable,FN,TP,"395.750,1935.250,407.000,1990.000",0.4199867844581604,"392.500,1928.000,412.750,1994.000",0.7076442837715149
u1e3_g080,roundtrip,rescued,0001417541-Raw02-f_00011.jpg,0001417541,qilie,1,"3700.000,2138.000,3730.000,2401.000",fusion_oracle_rescuable,FN,TP,"3703.000,1905.000,3738.000,2335.000",0.30185574293136597,"3701.000,2116.000,3730.000,2375.000",0.80593341588974
u1e3_g080,roundtrip,rescued,0001441830-Raw02-f_00002.jpg,0001441830,mamianmakeng,24,"2710.000,704.000,2733.000,749.000",localization_failure,FN,TP,"2676.000,706.000,2735.000,752.000",0.3583333194255829,"2714.000,709.000,2737.000,752.000",0.6012658476829529
u1e3_g080,roundtrip,rescued,0001472229_Raw13_f_00004.jpg,0001472229,huashang,4,"1548.000,857.000,2731.000,899.000",localization_failure,FN,TP,"1721.000,829.000,2617.000,910.000",0.44466501474380493,"1795.000,847.000,2523.000,900.000",0.5299684405326843
u1e3_g080,roundtrip,regressed,C1269807_V02_F00008_c21bf6a0-647a-4180-89ba-bda5e16c9289.jpg,C1269807,zonglie,0,"1899.000,1.000,1978.000,3000.000",,TP,FN,"1924.000,0.000,1972.000,3000.000",0.6074718832969666,"1930.000,0.000,1967.000,3000.000",0.4682812988758087
u1e3_g080,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,2,"403.000,128.000,431.000,202.000",localization_near_miss,FN,TP,"400.000,128.000,420.000,194.000",0.4942730665206909,"409.000,109.000,428.000,200.000",0.562268853187561
u1e3_g080,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,4,"405.000,386.000,429.000,455.000",localization_failure,FN,TP,"412.000,381.000,424.000,453.000",0.46853145956993103,"405.000,383.000,425.000,451.000",0.7575757503509521
u1e3_g080,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,6,"400.000,584.000,424.000,658.000",localization_failure,FN,TP,"407.000,586.000,418.000,665.000",0.42741450667381287,"406.000,584.000,424.000,676.000",0.634285032749176
u1e3_g080,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,8,"389.000,1937.000,414.000,1993.000",fusion_oracle_rescuable,FN,TP,"395.000,1935.000,407.000,1990.000",0.44662922620773315,"393.000,1932.000,413.000,1992.000",0.7333333492279053
uinf_g060,float,rescued,0001417541-Raw02-f_00011.jpg,0001417541,qilie,1,"3700.000,2138.000,3730.000,2401.000",fusion_oracle_rescuable,FN,TP,"3703.000,1905.500,3738.000,2335.000",0.30215582251548767,"3701.500,2116.500,3730.000,2375.000",0.7943900227546692
uinf_g060,float,rescued,0001441830-Raw02-f_00002.jpg,0001441830,mamianmakeng,24,"2710.000,704.000,2733.000,749.000",localization_failure,FN,TP,"2676.250,706.000,2735.000,752.000",0.35983264446258545,"2714.500,709.500,2736.500,751.500",0.5949521660804749
uinf_g060,float,rescued,0001472229_Raw13_f_00004.jpg,0001472229,huashang,4,"1548.000,857.000,2731.000,899.000",localization_failure,FN,TP,"1721.750,829.500,2617.000,909.500",0.4491998851299286,"1795.000,847.125,2523.000,899.750",0.5324881076812744
uinf_g060,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,2,"403.000,128.000,431.000,202.000",localization_near_miss,FN,TP,"400.500,128.750,420.000,194.000",0.4962809085845947,"409.500,109.750,427.750,199.250",0.5406565070152283
uinf_g060,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,4,"405.000,386.000,429.000,455.000",localization_failure,FN,TP,"412.000,381.500,423.250,453.000",0.44166117906570435,"405.250,383.000,424.250,450.500",0.7154115438461304
uinf_g060,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,6,"400.000,584.000,424.000,658.000",localization_failure,FN,TP,"407.750,586.000,418.000,665.000",0.3994041979312897,"406.750,584.000,424.000,676.000",0.6117894053459167
uinf_g060,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,8,"389.000,1937.000,414.000,1993.000",fusion_oracle_rescuable,FN,TP,"395.750,1935.250,407.000,1990.000",0.4199867844581604,"392.500,1928.000,412.750,1994.000",0.7076442837715149
uinf_g060,roundtrip,rescued,0001417541-Raw02-f_00011.jpg,0001417541,qilie,1,"3700.000,2138.000,3730.000,2401.000",fusion_oracle_rescuable,FN,TP,"3703.000,1905.000,3738.000,2335.000",0.30185574293136597,"3701.000,2116.000,3730.000,2375.000",0.80593341588974
uinf_g060,roundtrip,rescued,0001441830-Raw02-f_00002.jpg,0001441830,mamianmakeng,24,"2710.000,704.000,2733.000,749.000",localization_failure,FN,TP,"2676.000,706.000,2735.000,752.000",0.3583333194255829,"2714.000,709.000,2737.000,752.000",0.6012658476829529
uinf_g060,roundtrip,rescued,0001472229_Raw13_f_00004.jpg,0001472229,huashang,4,"1548.000,857.000,2731.000,899.000",localization_failure,FN,TP,"1721.000,829.000,2617.000,910.000",0.44466501474380493,"1795.000,847.000,2523.000,900.000",0.5299684405326843
uinf_g060,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,2,"403.000,128.000,431.000,202.000",localization_near_miss,FN,TP,"400.000,128.000,420.000,194.000",0.4942730665206909,"409.000,109.000,428.000,200.000",0.562268853187561
uinf_g060,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,4,"405.000,386.000,429.000,455.000",localization_failure,FN,TP,"412.000,381.000,424.000,453.000",0.46853145956993103,"405.000,383.000,425.000,451.000",0.7575757503509521
uinf_g060,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,6,"400.000,584.000,424.000,658.000",localization_failure,FN,TP,"407.000,586.000,418.000,665.000",0.42741450667381287,"406.000,584.000,424.000,676.000",0.634285032749176
uinf_g060,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,8,"389.000,1937.000,414.000,1993.000",fusion_oracle_rescuable,FN,TP,"395.000,1935.000,407.000,1990.000",0.44662922620773315,"393.000,1932.000,413.000,1992.000",0.7333333492279053
uinf_g080,float,rescued,0001417541-Raw02-f_00011.jpg,0001417541,qilie,1,"3700.000,2138.000,3730.000,2401.000",fusion_oracle_rescuable,FN,TP,"3703.000,1905.500,3738.000,2335.000",0.30215582251548767,"3701.500,2116.500,3730.000,2375.000",0.7943900227546692
uinf_g080,float,rescued,0001441830-Raw02-f_00002.jpg,0001441830,mamianmakeng,24,"2710.000,704.000,2733.000,749.000",localization_failure,FN,TP,"2676.250,706.000,2735.000,752.000",0.35983264446258545,"2714.500,709.500,2736.500,751.500",0.5949521660804749
uinf_g080,float,rescued,0001472229_Raw13_f_00004.jpg,0001472229,huashang,4,"1548.000,857.000,2731.000,899.000",localization_failure,FN,TP,"1721.750,829.500,2617.000,909.500",0.4491998851299286,"1795.000,847.125,2523.000,899.750",0.5324881076812744
uinf_g080,float,regressed,C1269807_V02_F00008_c21bf6a0-647a-4180-89ba-bda5e16c9289.jpg,C1269807,zonglie,0,"1899.000,1.000,1978.000,3000.000",,TP,FN,"1924.875,0.000,1972.000,3000.000",0.5964003801345825,"1929.250,0.000,1967.000,3000.000",0.47777196764945984
uinf_g080,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,2,"403.000,128.000,431.000,202.000",localization_near_miss,FN,TP,"400.500,128.750,420.000,194.000",0.4962809085845947,"409.500,109.750,427.750,199.250",0.5406565070152283
uinf_g080,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,4,"405.000,386.000,429.000,455.000",localization_failure,FN,TP,"412.000,381.500,423.250,453.000",0.44166117906570435,"405.250,383.000,424.250,450.500",0.7154115438461304
uinf_g080,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,6,"400.000,584.000,424.000,658.000",localization_failure,FN,TP,"407.750,586.000,418.000,665.000",0.3994041979312897,"406.750,584.000,424.000,676.000",0.6117894053459167
uinf_g080,float,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,8,"389.000,1937.000,414.000,1993.000",fusion_oracle_rescuable,FN,TP,"395.750,1935.250,407.000,1990.000",0.4199867844581604,"392.500,1928.000,412.750,1994.000",0.7076442837715149
uinf_g080,roundtrip,rescued,0001417541-Raw02-f_00011.jpg,0001417541,qilie,1,"3700.000,2138.000,3730.000,2401.000",fusion_oracle_rescuable,FN,TP,"3703.000,1905.000,3738.000,2335.000",0.30185574293136597,"3701.000,2116.000,3730.000,2375.000",0.80593341588974
uinf_g080,roundtrip,rescued,0001441830-Raw02-f_00002.jpg,0001441830,mamianmakeng,24,"2710.000,704.000,2733.000,749.000",localization_failure,FN,TP,"2676.000,706.000,2735.000,752.000",0.3583333194255829,"2714.000,709.000,2737.000,752.000",0.6012658476829529
uinf_g080,roundtrip,rescued,0001472229_Raw13_f_00004.jpg,0001472229,huashang,4,"1548.000,857.000,2731.000,899.000",localization_failure,FN,TP,"1721.000,829.000,2617.000,910.000",0.44466501474380493,"1795.000,847.000,2523.000,900.000",0.5299684405326843
uinf_g080,roundtrip,regressed,C1269807_V02_F00008_c21bf6a0-647a-4180-89ba-bda5e16c9289.jpg,C1269807,zonglie,0,"1899.000,1.000,1978.000,3000.000",,TP,FN,"1924.000,0.000,1972.000,3000.000",0.6074718832969666,"1929.000,0.000,1967.000,3000.000",0.4809355139732361
uinf_g080,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,2,"403.000,128.000,431.000,202.000",localization_near_miss,FN,TP,"400.000,128.000,420.000,194.000",0.4942730665206909,"409.000,109.000,428.000,200.000",0.562268853187561
uinf_g080,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,4,"405.000,386.000,429.000,455.000",localization_failure,FN,TP,"412.000,381.000,424.000,453.000",0.46853145956993103,"405.000,383.000,425.000,451.000",0.7575757503509521
uinf_g080,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,6,"400.000,584.000,424.000,658.000",localization_failure,FN,TP,"407.000,586.000,418.000,665.000",0.42741450667381287,"406.000,584.000,424.000,676.000",0.634285032749176
uinf_g080,roundtrip,rescued,C1297627_V01_F00002_08304277-d9b9-4278-992a-2fbf45ac0c3f.jpg,C1297627,huashang,8,"389.000,1937.000,414.000,1993.000",fusion_oracle_rescuable,FN,TP,"395.000,1935.000,407.000,1990.000",0.44662922620773315,"393.000,1932.000,413.000,1992.000",0.7333333492279053
